Name,College,Salary,Team
Joel Anthony,UNLV,"$3,800,000",Boston Celtics
Chris Babb,Iowa State,"$816,482",Boston Celtics
Brandon Bass,LSU,"$6,900,000",Boston Celtics
Jerryd Bayless,Arizona,N/A,Boston Celtics
Keith Bogans,Kentucky,"$5,285,817",Boston Celtics
Avery Bradley,Texas,N/A,Boston Celtics
Vitor Faverani,N/A,"$2,090,000",Boston Celtics
Jeff Green,Georgetown,"$9,200,000",Boston Celtics
Kris Humphries,Minnesota,N/A,Boston Celtics
Chris Johnson,Dayton,"$915,243",Boston Celtics
Kelly Olynyk,Gonzaga,"$2,075,760",Boston Celtics
Phil Pressey,Missouri,"$816,482",Boston Celtics
Rajon Rondo,Kentucky,"$12,909,090",Boston Celtics
Marcus Smart,Oklahoma State,"$3,283,320",Boston Celtics
Jared Sullinger,Ohio State,"$1,424,520",Boston Celtics
Marcus Thornton,LSU,"$8,575,000",Boston Celtics
Gerald Wallace,Alabama,"$10,105,855",Boston Celtics
James Young,Kentucky,N/A,Boston Celtics
Tyler Zeller,North Carolina,"$1,703,760",Boston Celtics
Alan Anderson,Michigan State,N/A,Brooklyn Nets
Andray Blatche,N/A,N/A,Brooklyn Nets
Markel Brown,Oklahoma State,N/A,Brooklyn Nets
Jason Collins,Stanford,N/A,Brooklyn Nets
Kevin Garnett,N/A,"$12,000,000",Brooklyn Nets
Jorge Gutierrez,California,"$816,482",Brooklyn Nets
Jarrett Jack,Georgia Tech,"$6,300,000",Brooklyn Nets
Cory Jefferson,Baylor,N/A,Brooklyn Nets
Joe Johnson,Arkansas,"$23,180,790",Brooklyn Nets
Sergey Karasev,N/A,"$1,533,840",Brooklyn Nets
Andrei Kirilenko,N/A,"$3,326,235",Brooklyn Nets
Brook Lopez,Stanford,"$15,719,062",Brooklyn Nets
Mason Plumlee,Duke,"$1,357,080",Brooklyn Nets
Marquis Teague,Kentucky,"$1,120,920",Brooklyn Nets
Mirza Teletovic,N/A,"$3,368,100",Brooklyn Nets
Xavier Thames,San Diego State,N/A,Brooklyn Nets
Deron Williams,Illinois,"$19,754,465",Brooklyn Nets
Cole Aldrich,Kansas,"$915,243",New York Knicks
Thanasis Antetokounmpo,N/A,N/A,New York Knicks
Carmelo Anthony,Syracuse,N/A,New York Knicks
Andrea Bargnani,N/A,"$11,500,000",New York Knicks
Shannon Brown,Michigan State,"$1,310,286",New York Knicks
Jose Calderon,N/A,"$7,097,191",New York Knicks
Samuel Dalembert,Seton Hall,"$4,051,527",New York Knicks
Cleanthony Early,Wichita State,N/A,New York Knicks
Wayne Ellington,North Carolina,"$2,771,340",New York Knicks
Tim Hardaway Jr.,Michigan,"$1,250,640",New York Knicks
Louis Labeyrie,N/A,N/A,New York Knicks
Shane LarkinNew York Knicks,Miami (FL),"$1,606,080",New York Knicks
Kenyon Martin,Cincinnati,N/A,New York Knicks
Toure' Murry,Wichita State,N/A,New York Knicks
Pablo Prigioni,N/A,"$1,662,961",New York Knicks
Iman Shumpert,Georgia Tech,"$2,616,975",New York Knicks
J.R. Smith,N/A,"$5,982,375",New York Knicks
Amar'e Stoudemire,N/A,"$23,410,988",New York Knicks
Jeremy Tyler,N/A,"$948,163",New York Knicks
Michael Carter-Williams,Syracuse,"$2,300,040",Philadelphia 76ers
Brandon Davies,Brigham Young,"$816,482",Philadelphia 76ers
Joel Embiid,Kansas,N/A,Philadelphia 76ers
